iter	RMSE
0	56893.17997
1	56047.04624
2	55212.35441
3	54302.4584
4	53531.35975
5	52746.84104
6	51961.01594
7	51231.31701
8	50551.33591
9	49929.47892
10	49323.51932
11	48755.99685
12	48256.54244
13	47746.9238
14	47239.60377
15	46780.38461
16	46312.44579
17	45926.98015
18	45559.35512
19	45158.3815
20	44774.20532
21	44441.00482
22	44125.01095
23	43844.36823
24	43501.43166
25	43170.49038
26	42874.65038
27	42632.17202
28	42352.82608
29	42043.08009
30	41821.29543
31	41582.34918
32	41320.01739
33	41155.50111
34	40966.84335
35	40761.16573
36	40550.79754
37	40317.66396
38	40148.39136
39	39946.51769
40	39750.20804
41	39600.96782
42	39426.4892
43	39287.41033
44	39135.79993
45	38942.73153
46	38771.15636
47	38604.8493
48	38427.45551
49	38259.57183
50	38117.12685
51	37974.2322
52	37847.58072
53	37748.55991
54	37603.65194
55	37495.44909
56	37401.51152
57	37277.5452
58	37110.12641
59	36993.02714
60	36898.55259
61	36801.10925
62	36703.75064
63	36578.93363
64	36482.41745
65	36424.8321
66	36356.93364
67	36268.63946
68	36196.82768
69	36087.64495
70	35956.15775
71	35829.0702
72	35687.83245
73	35587.9151
74	35480.52329
75	35366.09727
76	35318.4605
77	35247.87823
78	35171.21623
79	35135.15308
80	35033.04549
81	34957.77048
82	34892.7598
83	34809.71101
84	34743.89444
85	34694.38283
86	34624.16134
87	34568.7771
88	34479.02587
89	34334.53721
90	34285.53203
91	34232.25251
92	34142.26714
93	34078.56347
94	34006.85651
95	33959.67573
96	33890.46932
97	33803.51488
98	33745.54736
99	33677.76109
100	33617.93294
101	33520.00423
102	33444.37251
103	33418.0777
104	33360.69802
105	33263.38497
106	33231.03754
107	33165.50289
108	33103.88573
109	33034.51611
110	32993.67356
111	32962.00605
112	32861.21969
113	32830.469
114	32779.95837
115	32739.23376
116	32669.57013
117	32585.93466
118	32530.69364
119	32502.8422
120	32482.62304
121	32434.10971
122	32394.5157
123	32357.28286
124	32277.40697
125	32218.78529
126	32172.80862
127	32088.79165
128	32033.02578
129	31995.30918
130	31894.10654
131	31814.14813
132	31778.28117
133	31732.86777
134	31672.38024
135	31647.81445
136	31600.96244
137	31526.82627
138	31482.35239
139	31454.70173
140	31426.46807
141	31374.50852
142	31351.19669
143	31305.1154
144	31244.1454
145	31206.88288
146	31176.87582
147	31151.66706
148	31115.15071
149	31064.01976
150	31010.96451
151	30932.02862
152	30904.38227
153	30883.54566
154	30842.52623
155	30804.07253
156	30753.89825
157	30682.96074
158	30633.82368
159	30601.94094
160	30554.21942
161	30490.46935
162	30444.11897
163	30413.90423
164	30383.06258
165	30312.78319
166	30262.59795
167	30205.46816
168	30158.36774
169	30111.33761
170	30066.46113
171	30047.70623
172	29987.98194
173	29959.97637
174	29927.25051
175	29887.21573
176	29853.57448
177	29797.42658
178	29759.09148
179	29712.30338
180	29689.99429
181	29643.97277
182	29614.17016
183	29556.66493
184	29519.87066
185	29447.12009
186	29404.20513
187	29368.05026
188	29335.4347
189	29270.88728
190	29242.10059
191	29187.38352
192	29134.2995
193	29109.433
194	29048.41282
195	29014.88549
196	28982.65347
197	28958.58976
198	28921.61203
199	28882.21456
200	28838.80623
201	28798.80463
202	28757.3692
203	28713.93073
204	28677.52864
205	28638.49711
206	28591.19081
207	28560.65798
208	28522.45876
209	28487.47517
210	28443.40348
211	28411.61917
212	28376.77475
213	28342.53818
214	28318.10006
215	28294.30714
216	28223.84675
217	28175.39168
