iter	Passed	Remaining
0	18	18979
1	28	14057
2	39	13091
3	46	11640
4	53	10690
5	61	10239
6	69	9860
7	76	9521
8	83	9202
9	93	9273
10	100	9066
11	108	8916
12	115	8790
13	125	8825
14	131	8649
15	138	8545
16	145	8434
17	152	8324
18	159	8209
19	165	8120
20	175	8174
21	183	8137
22	190	8103
23	198	8080
24	206	8043
25	213	7996
26	220	7953
27	228	7932
28	235	7888
29	242	7847
30	249	7795
31	256	7750
32	263	7716
33	275	7823
34	283	7827
35	294	7874
36	301	7842
37	308	7821
38	316	7808
39	324	7780
40	331	7751
41	365	8336
42	371	8274
43	377	8208
44	384	8163
45	390	8092
46	396	8031
47	402	7973
48	407	7909
49	413	7858
50	418	7796
51	424	7732
52	429	7667
53	434	7611
54	439	7549
55	444	7493
56	449	7441
57	454	7388
58	461	7353
59	466	7312
60	472	7266
61	477	7224
62	482	7181
63	488	7139
64	493	7098
65	498	7058
66	503	7015
67	518	7112
68	523	7068
69	529	7029
70	536	7017
71	541	6978
72	546	6938
73	551	6903
74	556	6865
75	561	6830
76	566	6792
77	571	6753
78	576	6723
79	582	6695
80	586	6659
81	591	6626
82	597	6603
83	603	6585
84	610	6572
85	616	6549
86	622	6532
87	628	6516
88	634	6495
89	641	6483
90	647	6467
91	653	6446
92	659	6430
93	664	6407
94	670	6389
95	676	6373
96	682	6349
97	687	6329
98	693	6313
99	699	6293
100	705	6275
101	711	6263
102	716	6243
103	723	6230
104	728	6213
105	734	6197
106	740	6180
107	746	6164
108	751	6146
109	757	6131
110	763	6113
111	769	6098
112	774	6082
113	781	6070
114	786	6054
115	793	6044
116	801	6048
117	807	6035
118	814	6027
119	821	6021
120	827	6011
121	834	6002
122	841	5998
123	848	5992
124	854	5981
125	860	5972
126	866	5959
127	888	6055
128	895	6044
129	902	6040
130	909	6030
131	914	6014
132	921	6005
133	927	5992
134	934	5985
135	941	5979
136	946	5965
137	953	5955
138	959	5940
139	964	5924
140	970	5910
141	976	5898
142	982	5886
143	987	5871
144	993	5855
145	999	5845
146	1005	5834
147	1011	5823
148	1018	5819
149	1025	5810
150	1031	5801
151	1037	5788
152	1043	5775
153	1048	5761
154	1054	5748
155	1060	5737
156	1065	5721
157	1071	5710
158	1077	5699
159	1082	5682
160	1088	5671
161	1094	5659
162	1099	5645
163	1106	5638
164	1111	5623
165	1116	5610
166	1122	5601
167	1128	5586
168	1133	5574
169	1139	5563
170	1144	5548
171	1150	5540
172	1156	5527
173	1161	5512
174	1166	5501
175	1172	5487
176	1177	5476
177	1183	5465
178	1188	5452
179	1194	5440
180	1199	5428
181	1205	5415
182	1210	5402
183	1215	5388
184	1220	5375
185	1225	5363
186	1230	5349
187	1235	5338
188	1240	5325
189	1246	5315
190	1252	5304
191	1257	5292
192	1262	5280
193	1268	5270
194	1273	5258
195	1278	5245
196	1284	5233
197	1289	5221
198	1293	5207
199	1298	5195
200	1303	5181
201	1307	5167
202	1312	5152
203	1317	5139
204	1321	5125
205	1326	5111
206	1331	5099
207	1335	5086
208	1340	5072
209	1345	5061
210	1349	5047
211	1354	5035
212	1359	5021
213	1363	5008
214	1368	4995
215	1372	4981
216	1377	4969
217	1381	4957
218	1386	4943
219	1390	4930
220	1395	4919
221	1400	4907
222	1404	4894
223	1409	4883
224	1414	4872
225	1419	4861
226	1424	4851
227	1429	4841
228	1434	4828
229	1440	4824
230	1447	4817
231	1453	4811
232	1458	4802
233	1464	4794
234	1470	4785
235	1474	4774
236	1480	4765
237	1485	4756
238	1490	4746
239	1496	4738
240	1501	4729
241	1506	4719
242	1512	4711
243	1517	4702
244	1522	4692
245	1528	4685
246	1534	4676
247	1538	4666
248	1545	4659
249	1550	4651
250	1555	4641
251	1561	4635
252	1566	4626
253	1571	4616
254	1578	4610
255	1583	4601
256	1588	4592
257	1594	4585
258	1599	4576
259	1604	4567
260	1610	4560
261	1615	4551
262	1621	4543
263	1627	4536
264	1632	4527
265	1637	4519
266	1643	4511
267	1648	4502
268	1653	4493
269	1659	4486
270	1664	4477
271	1669	4467
272	1673	4457
273	1678	4448
274	1683	4439
275	1688	4429
276	1693	4420
277	1698	4411
278	1703	4401
279	1708	4392
280	1712	4383
281	1717	4374
282	1722	4364
283	1727	4355
284	1732	4346
285	1737	4337
286	1742	4327
287	1746	4318
288	1751	4309
289	1756	4300
290	1761	4291
291	1766	4283
292	1771	4274
293	1775	4264
294	1781	4256
295	1785	4246
296	1790	4238
297	1795	4229
298	1801	4222
299	1809	4222
300	1814	4213
301	1819	4206
302	1825	4199
303	1830	4191
304	1836	4184
305	1841	4177
306	1847	4169
307	1852	4162
308	1858	4156
309	1864	4149
310	1869	4142
311	1874	4134
312	1880	4126
313	1885	4118
314	1892	4116
315	1897	4108
316	1903	4101
317	1908	4092
318	1913	4084
319	1918	4077
320	1923	4067
321	1928	4060
322	1933	4052
323	1938	4043
324	1942	4034
325	1947	4025
326	1952	4017
327	1957	4009
328	1961	4001
329	1967	3994
330	1971	3985
331	1977	3978
332	1981	3969
333	1986	3961
334	1991	3952
335	1996	3944
336	2000	3936
337	2005	3927
338	2010	3920
339	2015	3912
340	2020	3903
341	2024	3895
342	2029	3887
343	2034	3880
344	2039	3872
345	2044	3864
346	2049	3857
347	2054	3849
348	2059	3841
349	2064	3833
350	2069	3825
351	2073	3817
352	2078	3809
353	2083	3802
354	2088	3794
355	2092	3786
356	2098	3778
357	2102	3771
358	2107	3763
359	2112	3754
360	2117	3747
361	2121	3739
362	2127	3732
363	2132	3726
364	2137	3718
365	2142	3712
366	2148	3705
367	2153	3698
368	2158	3691
369	2164	3684
370	2168	3676
371	2173	3669
372	2178	3661
373	2183	3654
374	2187	3646
375	2192	3639
376	2197	3631
377	2202	3624
378	2207	3616
379	2212	3609
380	2216	3601
381	2221	3593
382	2226	3586
383	2231	3579
384	2236	3573
385	2241	3565
386	2246	3557
387	2250	3550
388	2255	3542
389	2260	3535
390	2264	3527
391	2269	3520
392	2274	3513
393	2279	3505
394	2284	3499
395	2289	3492
396	2294	3485
397	2299	3478
398	2304	3471
399	2309	3464
400	2314	3457
401	2319	3450
402	2324	3443
403	2345	3460
404	2350	3453
405	2356	3447
406	2361	3441
407	2367	3434
408	2372	3428
409	2378	3422
410	2383	3416
411	2389	3410
412	2395	3404
413	2400	3398
414	2406	3392
415	2411	3386
416	2417	3379
417	2423	3374
418	2429	3369
419	2435	3363
420	2440	3356
421	2445	3348
422	2465	3362
423	2470	3356
424	2475	3349
425	2481	3343
426	2486	3336
427	2492	3330
428	2498	3324
429	2503	3318
430	2509	3312
431	2514	3306
432	2520	3300
433	2526	3295
434	2532	3288
435	2537	3282
436	2543	3277
437	2549	3270
438	2554	3264
439	2560	3258
440	2564	3251
441	2570	3244
442	2575	3238
443	2580	3231
444	2585	3224
445	2590	3217
446	2595	3210
447	2600	3203
448	2605	3197
449	2609	3189
450	2614	3182
451	2619	3176
452	2624	3169
453	2629	3162
454	2634	3156
455	2639	3149
456	2644	3142
457	2649	3135
458	2654	3128
459	2658	3121
460	2663	3114
461	2667	3106
462	2679	3107
463	2684	3100
464	2689	3094
465	2694	3088
466	2700	3082
467	2705	3075
468	2711	3069
469	2716	3063
470	2722	3057
471	2727	3051
472	2732	3044
473	2737	3038
474	2742	3031
475	2747	3025
476	2753	3018
477	2757	3011
478	2762	3005
479	2767	2998
480	2772	2992
481	2778	2985
482	2783	2979
483	2789	2973
484	2794	2967
485	2800	2961
486	2805	2955
487	2811	2949
488	2816	2943
489	2821	2936
490	2826	2929
491	2832	2924
492	2837	2918
493	2843	2912
494	2849	2907
495	2855	2901
496	2860	2895
497	2866	2889
498	2872	2883
499	2879	2879
500	2885	2873
501	2890	2867
502	2895	2860
503	2900	2854
504	2904	2847
505	2909	2840
506	2914	2834
507	2920	2828
508	2924	2821
509	2930	2815
510	2935	2808
511	2940	2802
512	2945	2796
513	2951	2790
514	2956	2784
515	2962	2778
516	2967	2772
517	2972	2765
518	2978	2760
519	2983	2754
520	2988	2747
521	2993	2741
522	2998	2734
523	3003	2727
524	3007	2721
525	3012	2714
526	3016	2707
527	3021	2700
528	3026	2694
529	3031	2687
530	3035	2681
531	3040	2674
532	3044	2667
533	3049	2661
534	3053	2654
535	3059	2648
536	3063	2641
537	3068	2634
538	3072	2627
539	3077	2621
540	3081	2614
541	3086	2607
542	3090	2601
543	3095	2594
544	3100	2588
545	3104	2581
546	3109	2575
547	3114	2568
548	3118	2561
549	3123	2555
550	3127	2548
551	3131	2541
